formula,bg_type,bg_eV,bg_std_eV,ehull,screen_pass,source,structure_type,source_dir,source_file,cif_source,local_cif_name
LiSc2Se3I,Direct,0.8159,0.5888,Stable,Yes,dual_backbone_inorg,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/LiSc2Se3I.cif,PROJECT_ROOT/Data/predict_final_main6/LiSc2Se3I.cif,LiSc2Se3I.cif
LiSc2Te3Br,Direct,0.559,0.4356,Stable,Yes,dual_backbone_inorg,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/LiSc2Te3Br.cif,PROJECT_ROOT/Data/predict_final_main6/LiSc2Te3Br.cif,LiSc2Te3Br.cif
LiSc2Te3Cl,Direct,0.5385,0.3799,Stable,Yes,dual_backbone_inorg,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/LiSc2Te3Cl.cif,PROJECT_ROOT/Data/predict_final_main6/LiSc2Te3Cl.cif,LiSc2Te3Cl.cif
LiSc2Te3F,Direct,0.8217,0.3988,Stable,Yes,dual_backbone_inorg,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/LiSc2Te3F.cif,PROJECT_ROOT/Data/predict_final_main6/LiSc2Te3F.cif,LiSc2Te3F.cif
LiSc2Te3I,Direct,0.5871,0.3587,Stable,Yes,dual_backbone_inorg,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/LiSc2Te3I.cif,PROJECT_ROOT/Data/predict_final_main6/LiSc2Te3I.cif,LiSc2Te3I.cif
LiScSeF2,Direct,0.9086,0.4256,Stable,Yes,dual_backbone_inorg,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_new_relaxed,PROJECT_ROOT/Data/predict_new_relaxed/LiScSeF2.cif,PROJECT_ROOT/Data/predict_final_main6/LiScSeF2.cif,LiScSeF2.cif
LiScTeF2,Direct,0.6213,0.4012,Stable,Yes,dual_backbone_inorg,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_new_relaxed,PROJECT_ROOT/Data/predict_new_relaxed/LiScTeF2.cif,PROJECT_ROOT/Data/predict_final_main6/LiScTeF2.cif,LiScTeF2.cif
LiSnTeBr,Direct,1.0846,0.788,Stable,Yes,dual_backbone_inorg,TrainTemplate_A1B1_Ch1_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/LiSnTeBr.cif,PROJECT_ROOT/Data/predict_final_main6/LiSnTeBr.cif,LiSnTeBr.cif
LiTeRhCl2,Direct,0.5239,0.3633,Stable,Yes,dual_backbone_inorg,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_new_relaxed,PROJECT_ROOT/Data/predict_new_relaxed/LiRhTeCl2.cif,PROJECT_ROOT/Data/predict_final_main6/LiTeRhCl2.cif,LiTeRhCl2.cif
LiY2S3I,Direct,0.8031,0.6679,Stable,Yes,dual_backbone_inorg,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/LiY2S3I.cif,PROJECT_ROOT/Data/predict_final_main6/LiY2S3I.cif,LiY2S3I.cif
