mp_id,formula,bg_eV,gap_type,ehull,stable
mp-1200138,,1.047,Indirect,0.1362,Unstable
mp-1195784,,0.8569,Indirect,0.2106,Unstable
mp-1201031,ZnAs2S4(O2F3)4,3.2295,Indirect,0.0317,Stable
mp-1204738,FeAs2S4(O2F3)4,3.2335,Indirect,0.0967,Stable
mp-1229221,As2Se3S3(NF3)4,1.5494,Indirect,0.1476,Unstable
mp-556926,CuAs2S4(O2F3)4,0.7933,Indirect,0.0311,Stable
mp-559097,NiAs2S6(OF)12,1.627,Indirect,0.02,Stable
mp-561487,Te4As2S(OF6)2,1.2366,Indirect,0.1278,Unstable
mp-560703,Te3As2S(OF6)2,2.0331,Indirect,0.1324,Unstable
mp-562774,CoSb2S2(OF3)4,3.1386,Indirect,0.0012,Stable
mp-542064,MnAs2S2(OF3)4,1.8017,Indirect,0.0404,Stable
mp-558288,CdAs2S2(OF3)4,3.4985,Direct,0.0379,Stable
mp-706456,Te2As2SI6(OF6)2,0.08,Indirect,0.3835,Unstable
mp-557236,Te2As2Se8S(OF6)2,1.4407,Indirect,0.0,Stable
mp-709432,,6.2926,Indirect,0.1733,Unstable
mp-1197884,,2.8513,Direct,0.1387,Unstable
mp-1201845,,1.5318,Indirect,0.2204,Unstable
mp-1201380,,2.8314,Direct,0.1478,Unstable
mp-557010,CdAs2S18N12(OF2)6,2.195,Indirect,0.3012,Unstable
mp-558968,,3.0306,Indirect,0.6184,Unstable
mp-1181934,,1.5647,Direct,0.5328,Unstable
mp-554761,,6.1503,Direct,0.2505,Unstable
mp-606304,,0.3619,Indirect,0.6082,Unstable
mp-651073,,3.5406,Direct,0.2285,Unstable
mp-1201063,AsS2XeN2F13,2.793,Indirect,0.3361,Unstable
mp-560424,,3.0921,Indirect,0.2635,Unstable
mp-1228916,,5.5254,Indirect,0.0211,Stable
mp-1204693,Ba18In8(S7F6)3,2.2909,Direct,0.0074,Stable
mp-1203902,CoAs2S6(NF3)6,1.9483,Direct,0.2059,Unstable
mp-558770,NiAs2S6(NF3)6,2.435,Indirect,0.2095,Unstable
mp-1197776,FeTe3S3Cl3(OF2)9,3.0463,Indirect,0.0538,Stable
mp-650524,Sb3S2XeN(O2F9)2,1.6989,Indirect,0.1406,Unstable
mp-1195359,,5.6331,Direct,0.259,Unstable
mp-1195523,,5.6823,Direct,0.2581,Unstable
mp-1198212,,2.2331,Indirect,0.2586,Unstable
mp-1205251,,3.5495,Direct,0.508,Unstable
mp-573010,MnAs2S4(NF6)4,3.5362,Direct,0.1882,Unstable
mp-554195,Sb3As2S14(IF8)3,1.8401,Direct,0.1409,Unstable
mp-705014,,2.5717,Indirect,0.5973,Unstable
mp-559978,CuAs2S8N8(OF7)4,1.1666,Indirect,0.2436,Unstable
mp-560359,SbTe7SXeCl(OF4)9,1.5664,Indirect,0.0432,Stable
mp-581488,SbTe7SXeCl(OF4)9,1.4924,Indirect,0.0432,Stable
mp-14673,Sb9S4F39,1.7301,Direct,0.0,Stable
mp-556278,Bi6As9Se4S10(O4F13)5,2.0161,Indirect,0.0369,Stable
mp-28096,,2.8804,Indirect,0.0,Stable
mp-31263,In5S5Cl,1.2286,Indirect,0.0,Stable
mp-560901,PdSCl,0.9647,Indirect,0.0,Stable
mp-561307,DySCl,2.7618,Indirect,0.0,Stable
mp-28374,,1.4232,Indirect,0.3308,Unstable
mp-1210046,PrSCl,2.6929,Indirect,0.0262,Stable
mp-772534,LaSCl,2.5588,Indirect,0.0196,Stable
mp-1213844,CeSCl,0.1365,Direct,0.0,Stable
mp-606912,,1.9565,Indirect,0.4375,Unstable
mp-1208155,TlIn4S5Cl,1.5302,Indirect,0.0,Stable
mp-1197810,Cs6Dy21S34Cl,1.9469,Indirect,0.0,Stable
mp-1212237,Hg3S2BrCl,1.639,Indirect,0.0032,Stable
mp-23586,Hg6S4Br3Cl,1.5348,Indirect,0.0014,Stable
mp-542474,Hg3S2ICl,1.4043,Indirect,0.0139,Stable
mp-556541,InSb2S4Cl,1.5525,Indirect,0.0,Stable
mp-1213106,CuTeSCl,1.22,Indirect,0.0803,Stable
mp-555237,PrSClO4,4.7054,Direct,0.0,Stable
mp-558122,GdSClO4,1.9163,Indirect,0.0,Stable
mp-558295,,2.2843,Indirect,0.4944,Unstable
mp-559889,,2.7545,Indirect,0.3712,Unstable
mp-559820,LaSClO4,4.0939,Indirect,0.0,Stable
mp-667281,,3.4976,Direct,0.303,Unstable
mp-542133,Ce3Si2S8Cl,0.1024,Indirect,0.0,Stable
mp-556246,La3Si2S8Cl,2.6154,Direct,0.0,Stable
mp-556179,Pr3Si2S8Cl,2.7409,Indirect,0.0,Stable
mp-558667,,2.3178,Indirect,0.268,Unstable
mp-557510,Cu3TeS3Cl,0.7673,Indirect,0.0661,Stable
mp-559355,Hg3AsS4Cl,1.5138,Indirect,0.0042,Stable
mp-1226127,Cu3Bi2S4Cl,0.8113,Indirect,0.0046,Stable
mp-1193300,ReS2ClO9,2.396,Indirect,0.0,Stable
mp-985592,Li6PS5Cl,2.2955,Direct,0.0829,Stable
mp-672253,CuHgSCl,0.5616,Indirect,0.0238,Stable
mp-23567,CuHgSCl,0.57,Indirect,0.0132,Stable
mp-729158,,0.0398,Indirect,1.3927,Unstable
mp-1181082,HgSNCl,0.6272,Indirect,0.6619,Unstable
mp-1198976,Ba3GaS4Cl,3.1691,Direct,0.0,Stable
mp-555012,La6S4N3Cl,1.295,Indirect,0.0512,Stable
mp-556087,Pr6S4N3Cl,1.2595,Indirect,0.0445,Stable
mp-557049,CdSbS2Cl,1.6373,Indirect,0.0075,Stable
mp-556910,Sm3SiS6Cl,2.6328,Indirect,0.0,Stable
mp-558130,MnBiS2Cl,0.854,Indirect,0.0,Stable
mp-558844,,4.0556,Direct,0.2845,Unstable
mp-558849,CdBiS2Cl,1.916,Indirect,0.012,Stable
mp-559779,Nd3SiS6Cl,2.6289,Indirect,0.0,Stable
mp-556856,,4.1666,Indirect,0.0139,Stable
mp-1202298,K4Mo2S4ClO20,0.0626,Direct,0.6025,Unstable
mp-558745,Rb4NpS2ClO10,0.1333,Indirect,0.0,Stable
mp-553977,K4NpS2ClO10,0.1226,Indirect,0.0,Stable
mp-1194731,CsBa2SnS4Cl,2.5537,Direct,0.0,Stable
mp-1203697,CuAs7PS7Cl,1.8362,Direct,0.0018,Stable
mp-1202430,,5.3509,Direct,0.0022,Stable
mp-1197298,CuAs12P4S12Cl,2.2937,Indirect,0.0,Stable
mp-1220698,NaZr2SN2Cl,1.1212,Indirect,0.0918,Stable
mp-2240378,MgCu3TeS3Cl,0.3029,Indirect,0.2359,Unstable
mp-1201802,Ba4NaGe3S10Cl,1.8421,Indirect,0.0058,Stable
mp-726331,,0.5571,Direct,0.5777,Unstable
mp-555092,K3WS3ClO,2.7764,Direct,0.1616,Unstable
mp-1224128,K3Sn2S3ClO3,0.8936,Indirect,0.5463,Unstable
mp-1223492,Na3Pb2S3ClO12,4.2515,Indirect,0.0,Stable
mp-554279,Tl3Hg2S3ClO12,2.7629,Indirect,0.0,Stable
mp-560324,Rb3Hg2S3ClO12,2.4564,Indirect,0.0,Stable
mp-1097034,Li20Si3P3S23Cl,2.3724,Indirect,0.0355,Stable
mp-1040451,Li20Si3P3S23Cl,2.3936,Indirect,0.0353,Stable
mp-23652,Hg6S4IBr2Cl,1.8506,Direct,0.0142,Stable
mp-559882,,2.4401,Direct,0.1754,Unstable
mp-672333,,3.1395,Indirect,0.1194,Unstable
mp-1196734,,2.7072,Indirect,0.033,Stable
mp-1204384,,0.3084,Indirect,0.5528,Unstable
mp-735513,,2.6821,Indirect,0.0453,Stable
mp-849796,,3.2835,Indirect,0.0131,Stable
mp-1196696,,1.872,Indirect,0.0077,Stable
mp-680067,,2.5318,Direct,0.8971,Unstable
mp-1229293,,0.0052,Indirect,0.1169,Unstable
mp-23660,,4.3533,Direct,0.0,Stable
mp-1201712,,3.6582,Direct,0.2181,Unstable
mp-1202744,,4.0958,Indirect,0.3569,Unstable
mp-1204531,,0.0229,Indirect,0.1275,Unstable
mp-1205047,,3.46,Direct,0.1123,Unstable
mp-1205165,,0.0114,Indirect,0.0773,Stable
mp-558541,,3.4454,Indirect,0.4082,Unstable
mp-706670,,0.8977,Indirect,0.0069,Stable
mp-707816,,2.4905,Indirect,0.6177,Unstable
mp-1198652,,2.8664,Direct,0.1402,Unstable
mp-1200704,,2.8692,Direct,0.19,Unstable
mp-1201812,,2.6044,Direct,0.0431,Stable
mp-603254,,3.0168,Direct,0.0546,Stable
mp-720855,,0.4714,Indirect,0.0731,Stable
mp-1196726,,2.7848,Indirect,0.0339,Stable
