formula,b_site_plus2,c_site_plus3,chalcogen_minus2,halide_minus1,template,charge_check
Cu2AlS2F3,Cu,Al,S,F,Sn2SbS2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2AlS2Cl3,Cu,Al,S,Cl,Ge2SbS2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2AlS2Br3,Cu,Al,S,Br,Ge2SbS2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2AlS2I3,Cu,Al,S,I,Ge2SbS2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2AlSe2F3,Cu,Al,Se,F,Sn2SbSe2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2AlSe2Cl3,Cu,Al,Se,Cl,Ge2SbSe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2AlSe2Br3,Cu,Al,Se,Br,Ge2SbSe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2AlSe2I3,Cu,Al,Se,I,Ge2SbSe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2AlTe2F3,Cu,Al,Te,F,Sn2SbTe2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2AlTe2Cl3,Cu,Al,Te,Cl,Ge2SbTe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2AlTe2Br3,Cu,Al,Te,Br,Ge2SbTe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2AlTe2I3,Cu,Al,Te,I,Ge2SbTe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2GaS2F3,Cu,Ga,S,F,Sn2SbS2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2GaS2Cl3,Cu,Ga,S,Cl,Ge2SbS2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2GaS2Br3,Cu,Ga,S,Br,Ge2SbS2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2GaS2I3,Cu,Ga,S,I,Ge2SbS2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2GaSe2F3,Cu,Ga,Se,F,Sn2SbSe2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2GaSe2Cl3,Cu,Ga,Se,Cl,Ge2SbSe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2GaSe2Br3,Cu,Ga,Se,Br,Ge2SbSe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2GaSe2I3,Cu,Ga,Se,I,Ge2SbSe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2GaTe2F3,Cu,Ga,Te,F,Sn2SbTe2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2GaTe2Cl3,Cu,Ga,Te,Cl,Ge2SbTe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2GaTe2Br3,Cu,Ga,Te,Br,Ge2SbTe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2GaTe2I3,Cu,Ga,Te,I,Ge2SbTe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2InS2F3,Cu,In,S,F,Ge2InS2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2InS2Cl3,Cu,In,S,Cl,Ge2InS2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2InS2Br3,Cu,In,S,Br,Ge2InS2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2InS2I3,Cu,In,S,I,Ge2InS2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2InSe2F3,Cu,In,Se,F,Ge2InSe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2InSe2Cl3,Cu,In,Se,Cl,Ge2InSe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2InSe2Br3,Cu,In,Se,Br,Ge2InSe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2InSe2I3,Cu,In,Se,I,Ge2InSe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2InTe2F3,Cu,In,Te,F,Ge2InTe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2InTe2Cl3,Cu,In,Te,Cl,Ge2InTe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2InTe2Br3,Cu,In,Te,Br,Ge2InTe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2InTe2I3,Cu,In,Te,I,Ge2InTe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2ScS2F3,Cu,Sc,S,F,Sn2SbS2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2ScS2Cl3,Cu,Sc,S,Cl,Ge2SbS2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2ScS2Br3,Cu,Sc,S,Br,Ge2SbS2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2ScS2I3,Cu,Sc,S,I,Ge2SbS2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2ScSe2F3,Cu,Sc,Se,F,Sn2SbSe2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2ScSe2Cl3,Cu,Sc,Se,Cl,Ge2SbSe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2ScSe2Br3,Cu,Sc,Se,Br,Ge2SbSe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2ScSe2I3,Cu,Sc,Se,I,Ge2SbSe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2ScTe2F3,Cu,Sc,Te,F,Sn2SbTe2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2ScTe2Cl3,Cu,Sc,Te,Cl,Ge2SbTe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2ScTe2Br3,Cu,Sc,Te,Br,Ge2SbTe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2ScTe2I3,Cu,Sc,Te,I,Ge2SbTe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2YS2F3,Cu,Y,S,F,Sn2SbS2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2YS2Cl3,Cu,Y,S,Cl,Ge2InS2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2YS2Br3,Cu,Y,S,Br,Ge2InS2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2YS2I3,Cu,Y,S,I,Ge2InS2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2YSe2F3,Cu,Y,Se,F,Sn2SbSe2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2YSe2Cl3,Cu,Y,Se,Cl,Ge2InSe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2YSe2Br3,Cu,Y,Se,Br,Ge2InSe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2YSe2I3,Cu,Y,Se,I,Ge2InSe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2YTe2F3,Cu,Y,Te,F,Sn2SbTe2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2YTe2Cl3,Cu,Y,Te,Cl,Ge2InTe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2YTe2Br3,Cu,Y,Te,Br,Ge2InTe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2YTe2I3,Cu,Y,Te,I,Ge2InTe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2LaS2F3,Cu,La,S,F,Sn2SbS2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2LaS2Cl3,Cu,La,S,Cl,Ge2BiS2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2LaS2Br3,Cu,La,S,Br,Ge2BiS2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2LaS2I3,Cu,La,S,I,Ge2BiS2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2LaSe2F3,Cu,La,Se,F,Sn2SbSe2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2LaSe2Cl3,Cu,La,Se,Cl,Ge2BiSe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2LaSe2Br3,Cu,La,Se,Br,Ge2BiSe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2LaSe2I3,Cu,La,Se,I,Ge2BiSe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2LaTe2F3,Cu,La,Te,F,Sn2SbTe2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2LaTe2Cl3,Cu,La,Te,Cl,Ge2BiTe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2LaTe2Br3,Cu,La,Te,Br,Ge2BiTe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2LaTe2I3,Cu,La,Te,I,Ge2BiTe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2LuS2F3,Cu,Lu,S,F,Sn2SbS2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2LuS2Cl3,Cu,Lu,S,Cl,Ge2InS2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2LuS2Br3,Cu,Lu,S,Br,Ge2InS2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2LuS2I3,Cu,Lu,S,I,Ge2InS2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2LuSe2F3,Cu,Lu,Se,F,Sn2SbSe2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2LuSe2Cl3,Cu,Lu,Se,Cl,Ge2InSe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2LuSe2Br3,Cu,Lu,Se,Br,Ge2InSe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2LuSe2I3,Cu,Lu,Se,I,Ge2InSe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2LuTe2F3,Cu,Lu,Te,F,Sn2SbTe2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2LuTe2Cl3,Cu,Lu,Te,Cl,Ge2InTe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2LuTe2Br3,Cu,Lu,Te,Br,Ge2InTe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2LuTe2I3,Cu,Lu,Te,I,Ge2InTe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2TiS2F3,Cu,Ti,S,F,Sn2SbS2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2TiS2Cl3,Cu,Ti,S,Cl,Ge2SbS2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2TiS2Br3,Cu,Ti,S,Br,Ge2SbS2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2TiS2I3,Cu,Ti,S,I,Ge2SbS2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2TiSe2F3,Cu,Ti,Se,F,Sn2SbSe2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2TiSe2Cl3,Cu,Ti,Se,Cl,Ge2SbSe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2TiSe2Br3,Cu,Ti,Se,Br,Ge2SbSe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2TiSe2I3,Cu,Ti,Se,I,Ge2SbSe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2TiTe2F3,Cu,Ti,Te,F,Sn2SbTe2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2TiTe2Cl3,Cu,Ti,Te,Cl,Ge2SbTe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2TiTe2Br3,Cu,Ti,Te,Br,Ge2SbTe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2TiTe2I3,Cu,Ti,Te,I,Ge2SbTe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2VS2F3,Cu,V,S,F,Sn2SbS2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2VS2Cl3,Cu,V,S,Cl,Ge2SbS2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2VS2Br3,Cu,V,S,Br,Ge2SbS2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2VS2I3,Cu,V,S,I,Ge2SbS2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2VSe2F3,Cu,V,Se,F,Sn2SbSe2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2VSe2Cl3,Cu,V,Se,Cl,Ge2SbSe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2VSe2Br3,Cu,V,Se,Br,Ge2SbSe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2VSe2I3,Cu,V,Se,I,Ge2SbSe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2VTe2F3,Cu,V,Te,F,Sn2SbTe2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2VTe2Cl3,Cu,V,Te,Cl,Ge2SbTe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2VTe2Br3,Cu,V,Te,Br,Ge2SbTe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2VTe2I3,Cu,V,Te,I,Ge2SbTe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2NbS2F3,Cu,Nb,S,F,Sn2SbS2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2NbS2Cl3,Cu,Nb,S,Cl,Ge2SbS2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2NbS2Br3,Cu,Nb,S,Br,Ge2SbS2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2NbS2I3,Cu,Nb,S,I,Ge2SbS2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2NbSe2F3,Cu,Nb,Se,F,Sn2SbSe2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2NbSe2Cl3,Cu,Nb,Se,Cl,Ge2SbSe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2NbSe2Br3,Cu,Nb,Se,Br,Ge2SbSe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2NbSe2I3,Cu,Nb,Se,I,Ge2SbSe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2NbTe2F3,Cu,Nb,Te,F,Sn2SbTe2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2NbTe2Cl3,Cu,Nb,Te,Cl,Ge2SbTe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2NbTe2Br3,Cu,Nb,Te,Br,Ge2SbTe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2NbTe2I3,Cu,Nb,Te,I,Ge2SbTe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2MoS2F3,Cu,Mo,S,F,Sn2SbS2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2MoS2Cl3,Cu,Mo,S,Cl,Ge2SbS2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2MoS2Br3,Cu,Mo,S,Br,Ge2SbS2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2MoS2I3,Cu,Mo,S,I,Ge2SbS2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2MoSe2F3,Cu,Mo,Se,F,Sn2SbSe2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2MoSe2Cl3,Cu,Mo,Se,Cl,Ge2SbSe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2MoSe2Br3,Cu,Mo,Se,Br,Ge2SbSe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2MoSe2I3,Cu,Mo,Se,I,Ge2SbSe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2MoTe2F3,Cu,Mo,Te,F,Sn2SbTe2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2MoTe2Cl3,Cu,Mo,Te,Cl,Ge2SbTe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2MoTe2Br3,Cu,Mo,Te,Br,Ge2SbTe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2MoTe2I3,Cu,Mo,Te,I,Ge2SbTe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2ZrS2F3,Cu,Zr,S,F,Sn2SbS2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2ZrS2Cl3,Cu,Zr,S,Cl,Ge2SbS2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2ZrS2Br3,Cu,Zr,S,Br,Ge2SbS2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2ZrS2I3,Cu,Zr,S,I,Ge2SbS2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2ZrSe2F3,Cu,Zr,Se,F,Sn2SbSe2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2ZrSe2Cl3,Cu,Zr,Se,Cl,Ge2SbSe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2ZrSe2Br3,Cu,Zr,Se,Br,Ge2SbSe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2ZrSe2I3,Cu,Zr,Se,I,Ge2SbSe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2ZrTe2F3,Cu,Zr,Te,F,Sn2SbTe2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2ZrTe2Cl3,Cu,Zr,Te,Cl,Ge2SbTe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2ZrTe2Br3,Cu,Zr,Te,Br,Ge2SbTe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2ZrTe2I3,Cu,Zr,Te,I,Ge2SbTe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2HfS2F3,Cu,Hf,S,F,Sn2SbS2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2HfS2Cl3,Cu,Hf,S,Cl,Ge2SbS2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2HfS2Br3,Cu,Hf,S,Br,Ge2SbS2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2HfS2I3,Cu,Hf,S,I,Ge2SbS2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2HfSe2F3,Cu,Hf,Se,F,Sn2SbSe2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2HfSe2Cl3,Cu,Hf,Se,Cl,Ge2SbSe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2HfSe2Br3,Cu,Hf,Se,Br,Ge2SbSe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2HfSe2I3,Cu,Hf,Se,I,Ge2SbSe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2HfTe2F3,Cu,Hf,Te,F,Sn2SbTe2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2HfTe2Cl3,Cu,Hf,Te,Cl,Ge2SbTe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2HfTe2Br3,Cu,Hf,Te,Br,Ge2SbTe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2HfTe2I3,Cu,Hf,Te,I,Ge2SbTe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2TaS2F3,Cu,Ta,S,F,Sn2SbS2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2TaS2Cl3,Cu,Ta,S,Cl,Ge2SbS2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2TaS2Br3,Cu,Ta,S,Br,Ge2SbS2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2TaS2I3,Cu,Ta,S,I,Ge2SbS2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2TaSe2F3,Cu,Ta,Se,F,Sn2SbSe2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2TaSe2Cl3,Cu,Ta,Se,Cl,Ge2SbSe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2TaSe2Br3,Cu,Ta,Se,Br,Ge2SbSe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2TaSe2I3,Cu,Ta,Se,I,Ge2SbSe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2TaTe2F3,Cu,Ta,Te,F,Sn2SbTe2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2TaTe2Cl3,Cu,Ta,Te,Cl,Ge2SbTe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2TaTe2Br3,Cu,Ta,Te,Br,Ge2SbTe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2TaTe2I3,Cu,Ta,Te,I,Ge2SbTe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2WS2F3,Cu,W,S,F,Sn2SbS2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2WS2Cl3,Cu,W,S,Cl,Ge2SbS2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2WS2Br3,Cu,W,S,Br,Ge2SbS2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2WS2I3,Cu,W,S,I,Ge2SbS2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2WSe2F3,Cu,W,Se,F,Sn2SbSe2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2WSe2Cl3,Cu,W,Se,Cl,Ge2SbSe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2WSe2Br3,Cu,W,Se,Br,Ge2SbSe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2WSe2I3,Cu,W,Se,I,Ge2SbSe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2WTe2F3,Cu,W,Te,F,Sn2SbTe2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2WTe2Cl3,Cu,W,Te,Cl,Ge2SbTe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2WTe2Br3,Cu,W,Te,Br,Ge2SbTe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2WTe2I3,Cu,W,Te,I,Ge2SbTe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2FeS2F3,Cu,Fe,S,F,Sn2SbS2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2FeS2Cl3,Cu,Fe,S,Cl,Ge2InS2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2FeS2Br3,Cu,Fe,S,Br,Ge2InS2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2FeS2I3,Cu,Fe,S,I,Ge2InS2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2FeSe2F3,Cu,Fe,Se,F,Sn2SbSe2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2FeSe2Cl3,Cu,Fe,Se,Cl,Ge2InSe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2FeSe2Br3,Cu,Fe,Se,Br,Ge2InSe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Cu2FeSe2I3,Cu,Fe,Se,I,Ge2InSe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
