ID,Band Gap (eV),Gap Type,Energy Above Hull (eV/atom)
mp-560673,6.1633,Indirect,0.0000
mp-554294,5.0262,Indirect,0.0250
mp-554643,4.9328,Indirect,0.0000
mp-769153,4.4629,Indirect,0.0745
mp-1181494,2.0947,Indirect,0.2686
mp-1191673,5.7662,Indirect,0.0000
mp-1202796,5.6433,Indirect,0.1032
mp-560125,3.3625,Indirect,0.1594
mp-768092,1.5414,Indirect,0.0589
mp-554592,5.6075,Indirect,0.1269
mp-559646,5.3392,Direct,0.1335
mp-6858,5.7327,Indirect,0.1322
mp-532575,5.2445,Indirect,0.0020
mp-1203080,5.7847,Direct,0.0000
mp-19304,1.3684,Direct,0.0009
mp-555002,6.1760,Indirect,0.0142
mp-770642,1.7329,Direct,0.0843
mp-1199815,1.1105,Indirect,0.9569
mp-557006,4.4339,Indirect,0.0000
mp-769601,1.4013,Indirect,0.0562
mp-672209,5.5640,Direct,0.1410
mp-707276,4.2670,Indirect,0.0000
mp-1201229,5.5535,Direct,0.7458
mp-1203692,1.5800,Indirect,0.0234
mp-23777,5.8094,Indirect,0.2716
mp-555329,1.5162,Direct,0.2588
mp-601228,3.1436,Indirect,0.7248
mp-696485,3.4852,Indirect,0.0165
mp-605808,3.4853,Indirect,0.3335
mp-559423,3.3148,Direct,0.2410
mp-555728,2.1838,Indirect,0.3984
mp-601202,5.7664,Direct,0.1694
mp-1202925,2.6963,Indirect,0.2882
mp-1201024,2.5456,Indirect,0.1450
mp-1204104,3.2777,Indirect,0.3264
mp-1219693,1.6573,Indirect,0.3159
mp-33107,1.1929,Indirect,0.4391
mp-1203812,4.9034,Indirect,0.0266
mp-1080739,0.0000,Metal,0.0000
mp-1205247,2.8691,Direct,0.1439
mp-28113,3.3183,Direct,0.1419
mp-560960,0.3651,Indirect,0.0063
mp-1218416,0.0000,Metal,0.0088
mp-1182437,3.6381,Indirect,0.1476
mp-1201018,0.0000,Metal,0.0000
mp-1201734,0.4207,Indirect,0.1937
mp-1214213,3.5712,Indirect,0.1489
mp-555436,4.3527,Direct,0.1284
mp-555888,6.1791,Indirect,0.2112
mp-557161,1.2306,Direct,0.1462
mp-1105132,2.3480,Indirect,0.1497
mp-1179346,0.2935,Direct,0.9829
mp-554285,4.9473,Indirect,0.0008
mp-1194736,1.7777,Direct,0.0000
mp-1201750,5.3274,Indirect,0.0356
mp-1214776,2.1892,Indirect,0.1244
mp-679630,3.8160,Indirect,0.5561
mp-1199018,2.1491,Indirect,0.0499
mp-1204862,2.4483,Direct,0.1546
mp-1204819,2.0034,Indirect,0.1535
mp-1197784,2.9405,Indirect,0.0000
mp-559029,4.9280,Indirect,0.3049
mp-849783,2.2385,Indirect,0.0978
mp-555250,3.1765,Indirect,0.2529
mp-1215373,4.5471,Indirect,0.0994
mp-1195164,3.1191,Indirect,0.0000
mp-28555,4.7124,Direct,0.0000
mp-1046702,1.2534,Indirect,0.2363
mp-1046709,1.2455,Indirect,0.1985
mp-1046747,0.2898,Indirect,0.3790
mp-1323771,0.0512,Indirect,3.0918
mp-559296,1.7123,Indirect,0.2687
mp-555255,2.2156,Indirect,0.1002
mp-558254,1.9200,Indirect,0.2686
mp-560066,3.4487,Indirect,0.0362
mp-1369435,0.0000,Metal,0.0687
mp-555513,2.9355,Indirect,0.3873
