formula,in_final_main6,in_excluded_training_overlap,final_file,excluded_file,dft_files,main6_type,main6_source_dir
CsInSeI2,Yes,No,CsInSeI2.cif,,CsInSeI2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CsInTeBr2,Yes,No,CsInTeBr2.cif,,CsInTeBr2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CsInTeCl2,Yes,No,CsInTeCl2.cif,,CsInTeCl2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CsInTeI2,Yes,No,CsInTeI2.cif,,CsInTeI2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CsLaSBr2,Yes,No,CsLaSBr2.cif,,CsLaSBr2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CsLaSCl2,Yes,No,CsLaSCl2.cif,,CsLaSCl2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CsLaSI2,Yes,No,CsLaSI2.cif,,CsLaSI2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CsLaSeBr2,Yes,No,CsLaSeBr2.cif,,CsLaSeBr2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CsLaSeCl2,Yes,No,CsLaSeCl2.cif,,CsLaSeCl2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CsLaSeI2,Yes,No,CsLaSeI2.cif,,CsLaSeI2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CsLaTeBr2,Yes,No,CsLaTeBr2.cif,,CsLaTeBr2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CsLaTeCl2,Yes,No,CsLaTeCl2.cif,,CsLaTeCl2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CsLaTeI2,Yes,No,CsLaTeI2.cif,,CsLaTeI2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CsSbSBr2,Yes,No,CsSbSBr2.cif,,CsSbSBr2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CsSbSCl2,Yes,No,CsSbSCl2.cif,,CsSbSCl2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CsSbSI2,No,Yes,,CsSbSI2.cif,CsSbSI2.vasp,,
CsSbSeBr2,Yes,No,CsSbSeBr2.cif,,CsSbSeBr2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CsSbSeCl2,Yes,No,CsSbSeCl2.cif,,CsSbSeCl2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CsSbSeI2,Yes,No,CsSbSeI2.cif,,CsSbSeI2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CsSbTeBr2,Yes,No,CsSbTeBr2.cif,,CsSbTeBr2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CsSbTeCl2,Yes,No,CsSbTeCl2.cif,,CsSbTeCl2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CsSbTeI2,Yes,No,CsSbTeI2.cif,,CsSbTeI2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CsScSBr2,Yes,No,CsScSBr2.cif,,CsScSBr2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CsScSCl2,Yes,No,CsScSCl2.cif,,CsScSCl2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CsScSI2,Yes,No,CsScSI2.cif,,CsScSI2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CsScSeBr2,Yes,No,CsScSeBr2.cif,,CsScSeBr2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CsScSeCl2,Yes,No,CsScSeCl2.cif,,CsScSeCl2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CsScSeI2,Yes,No,CsScSeI2.cif,,CsScSeI2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CsScTeBr2,Yes,No,CsScTeBr2.cif,,CsScTeBr2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CsScTeCl2,Yes,No,CsScTeCl2.cif,,CsScTeCl2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CsScTeI2,Yes,No,CsScTeI2.cif,,CsScTeI2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CsYSBr2,Yes,No,CsYSBr2.cif,,CsYSBr2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CsYSCl2,Yes,No,CsYSCl2.cif,,CsYSCl2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CsYSI2,Yes,No,CsYSI2.cif,,CsYSI2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CsYSeBr2,Yes,No,CsYSeBr2.cif,,CsYSeBr2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
