pattern,schema,charge_rule,training_support,selected_for_current_generation,coverage_plan,theoretical_whitelist_formulas,generated_new_cifs,current_relaxed_cifs,already_existing_or_skipped,examples,current_available_unique_cifs_all_sources,predict_final_cifs,note
B7C2_Ch6_X8,B7 C2 Ch6 X8,"7*B(+2) + 2*C(+3) + 6*Ch(-2) + 8*X(-1) = 0; |+|=20, |-|=20",1,No,not expanded,3360,0,0,,Ba7In2(Se3F4)2,11,11,
B7_Ch2_X10,B7 Ch2 X10,"7*B(+2) + 2*Ch(-2) + 10*X(-1) = 0; |+|=14, |-|=14",1,No,not expanded,168,0,0,,Sn7(SBr5)2,11,11,
B9C4_Ch10_X10,B9 C4 Ch10 X10,"9*B(+2) + 4*C(+3) + 10*Ch(-2) + 10*X(-1) = 0; |+|=30, |-|=30",1,No,not expanded,3360,0,0,,Ba9In4(SF)10,11,11,
C11_Ch12_X9,C11 Ch12 X9,"11*C(+3) + 12*Ch(-2) + 9*X(-1) = 0; |+|=33, |-|=33",1,No,not expanded,240,0,0,,Bi11(Se4Cl3)3,11,11,
C1C1_Ch2_X2,C C Ch2 X2,"1*C(+3) + 1*C(+3) + 2*Ch(-2) + 2*X(-1) = 0; |+|=6, |-|=6",1,No,not expanded,2280,0,0,,LaSb(SBr)2,11,11,
C1C2_Ch1_X7,C C2 Ch X7,"1*C(+3) + 2*C(+3) + 1*Ch(-2) + 7*X(-1) = 0; |+|=9, |-|=9",1,No,not expanded,4560,0,0,,Ta2NbTeI7,11,0,
C2C3_Ch7_X1,C2 C3 Ch7 X,"2*C(+3) + 3*C(+3) + 7*Ch(-2) + 1*X(-1) = 0; |+|=15, |-|=15",1,No,not expanded,4560,0,0,,In2Bi3Se7I,11,11,
C2C5_Ch6_X9,C2 C5 Ch6 X9,"2*C(+3) + 5*C(+3) + 6*Ch(-2) + 9*X(-1) = 0; |+|=21, |-|=21",1,No,not expanded,4560,0,0,,Al2Sb5(Se2Br3)3,11,11,
C3C7_Ch8_X14,C3 C7 Ch8 X14,"3*C(+3) + 7*C(+3) + 8*Ch(-2) + 14*X(-1) = 0; |+|=30, |-|=30",1,No,not expanded,4560,0,0,,Ga3Sb7(S4Cl7)2,11,11,
C4_Ch5_X2,C4 Ch5 X2,"4*C(+3) + 5*Ch(-2) + 2*X(-1) = 0; |+|=12, |-|=12",1,No,not expanded,240,0,0,,Sb4S5Cl2,11,11,
C5_Ch6_X3,C5 Ch6 X3,"5*C(+3) + 6*Ch(-2) + 3*X(-1) = 0; |+|=15, |-|=15",1,No,not expanded,240,0,0,,Bi5(S2Cl)3,11,11,
C7C7_Ch8_X26,C7 C7 Ch8 X26,"7*C(+3) + 7*C(+3) + 8*Ch(-2) + 26*X(-1) = 0; |+|=42, |-|=42",1,No,not expanded,2280,0,0,,Ga7Sb7(Te4Cl13)2,11,11,
C7_Ch9_X3,C7 Ch9 X3,"7*C(+3) + 9*Ch(-2) + 3*X(-1) = 0; |+|=21, |-|=21",1,No,not expanded,240,0,0,,Bi7(S3Cl)3,11,11,
