formula,reduced_formula,b_site_plus2,c_site_plus3,chalcogen_minus2,halide_minus1,template,charge_check
Co2SbSe2Cl3,Co2SbSe2Cl3,Co,Sb,Se,Cl,Ge2SbSe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2SbSe2Br3,Co2SbSe2Br3,Co,Sb,Se,Br,Ge2SbSe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2SbSe2I3,Co2SbSe2I3,Co,Sb,Se,I,Ge2SbSe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2SbTe2F3,Co2SbTe2F3,Co,Sb,Te,F,Sn2SbTe2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2SbTe2Cl3,Co2SbTe2Cl3,Co,Sb,Te,Cl,Ge2SbTe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2SbTe2Br3,Co2SbTe2Br3,Co,Sb,Te,Br,Ge2SbTe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2SbTe2I3,Co2SbTe2I3,Co,Sb,Te,I,Ge2SbTe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2TiS2F3,TiCo2S2F3,Co,Ti,S,F,Sn2SbS2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2TiS2Cl3,TiCo2S2Cl3,Co,Ti,S,Cl,Ge2SbS2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2TiS2Br3,TiCo2S2Br3,Co,Ti,S,Br,Ge2SbS2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2TiS2I3,TiCo2S2I3,Co,Ti,S,I,Ge2SbS2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2TiSe2F3,TiCo2Se2F3,Co,Ti,Se,F,Sn2SbSe2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2TiSe2Cl3,TiCo2Se2Cl3,Co,Ti,Se,Cl,Ge2SbSe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2TiSe2Br3,TiCo2Se2Br3,Co,Ti,Se,Br,Ge2SbSe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2TiSe2I3,TiCo2Se2I3,Co,Ti,Se,I,Ge2SbSe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2TiTe2F3,TiCo2Te2F3,Co,Ti,Te,F,Sn2SbTe2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2TiTe2Cl3,TiCo2Te2Cl3,Co,Ti,Te,Cl,Ge2SbTe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2TiTe2Br3,TiCo2Te2Br3,Co,Ti,Te,Br,Ge2SbTe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2TiTe2I3,TiCo2Te2I3,Co,Ti,Te,I,Ge2SbTe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2VS2F3,VCo2S2F3,Co,V,S,F,Sn2SbS2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2VS2Cl3,VCo2S2Cl3,Co,V,S,Cl,Ge2SbS2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2VS2Br3,VCo2S2Br3,Co,V,S,Br,Ge2SbS2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2VS2I3,VCo2S2I3,Co,V,S,I,Ge2SbS2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2VSe2F3,VCo2Se2F3,Co,V,Se,F,Sn2SbSe2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2VSe2Cl3,VCo2Se2Cl3,Co,V,Se,Cl,Ge2SbSe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2VSe2Br3,VCo2Se2Br3,Co,V,Se,Br,Ge2SbSe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2VSe2I3,VCo2Se2I3,Co,V,Se,I,Ge2SbSe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2VTe2F3,VCo2Te2F3,Co,V,Te,F,Sn2SbTe2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2VTe2Cl3,VCo2Te2Cl3,Co,V,Te,Cl,Ge2SbTe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2VTe2Br3,VCo2Te2Br3,Co,V,Te,Br,Ge2SbTe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2VTe2I3,VCo2Te2I3,Co,V,Te,I,Ge2SbTe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2NbS2F3,NbCo2S2F3,Co,Nb,S,F,Sn2SbS2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2NbS2Cl3,NbCo2S2Cl3,Co,Nb,S,Cl,Ge2SbS2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2NbS2Br3,NbCo2S2Br3,Co,Nb,S,Br,Ge2SbS2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2NbS2I3,NbCo2S2I3,Co,Nb,S,I,Ge2SbS2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2NbSe2F3,NbCo2Se2F3,Co,Nb,Se,F,Sn2SbSe2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2NbSe2Cl3,NbCo2Se2Cl3,Co,Nb,Se,Cl,Ge2SbSe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2NbSe2Br3,NbCo2Se2Br3,Co,Nb,Se,Br,Ge2SbSe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2NbSe2I3,NbCo2Se2I3,Co,Nb,Se,I,Ge2SbSe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2NbTe2F3,NbCo2Te2F3,Co,Nb,Te,F,Sn2SbTe2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2NbTe2Cl3,NbCo2Te2Cl3,Co,Nb,Te,Cl,Ge2SbTe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2NbTe2Br3,NbCo2Te2Br3,Co,Nb,Te,Br,Ge2SbTe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2NbTe2I3,NbCo2Te2I3,Co,Nb,Te,I,Ge2SbTe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2MoS2F3,Co2MoS2F3,Co,Mo,S,F,Sn2SbS2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2MoS2Cl3,Co2MoS2Cl3,Co,Mo,S,Cl,Ge2SbS2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2MoS2Br3,Co2MoS2Br3,Co,Mo,S,Br,Ge2SbS2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2MoS2I3,Co2MoS2I3,Co,Mo,S,I,Ge2SbS2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2MoSe2F3,Co2MoSe2F3,Co,Mo,Se,F,Sn2SbSe2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2MoSe2Cl3,Co2MoSe2Cl3,Co,Mo,Se,Cl,Ge2SbSe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2MoSe2Br3,Co2MoSe2Br3,Co,Mo,Se,Br,Ge2SbSe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2MoSe2I3,Co2MoSe2I3,Co,Mo,Se,I,Ge2SbSe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2MoTe2F3,Co2Te2MoF3,Co,Mo,Te,F,Sn2SbTe2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2MoTe2Cl3,Co2Te2MoCl3,Co,Mo,Te,Cl,Ge2SbTe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2MoTe2Br3,Co2Te2MoBr3,Co,Mo,Te,Br,Ge2SbTe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2MoTe2I3,Co2Te2MoI3,Co,Mo,Te,I,Ge2SbTe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2ZrS2F3,ZrCo2S2F3,Co,Zr,S,F,Sn2SbS2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2ZrS2Cl3,ZrCo2S2Cl3,Co,Zr,S,Cl,Ge2SbS2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2ZrS2Br3,ZrCo2S2Br3,Co,Zr,S,Br,Ge2SbS2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2ZrS2I3,ZrCo2S2I3,Co,Zr,S,I,Ge2SbS2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2ZrSe2F3,ZrCo2Se2F3,Co,Zr,Se,F,Sn2SbSe2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2ZrSe2Cl3,ZrCo2Se2Cl3,Co,Zr,Se,Cl,Ge2SbSe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2ZrSe2Br3,ZrCo2Se2Br3,Co,Zr,Se,Br,Ge2SbSe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2ZrSe2I3,ZrCo2Se2I3,Co,Zr,Se,I,Ge2SbSe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2ZrTe2F3,ZrCo2Te2F3,Co,Zr,Te,F,Sn2SbTe2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2ZrTe2Cl3,ZrCo2Te2Cl3,Co,Zr,Te,Cl,Ge2SbTe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2ZrTe2Br3,ZrCo2Te2Br3,Co,Zr,Te,Br,Ge2SbTe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2ZrTe2I3,ZrCo2Te2I3,Co,Zr,Te,I,Ge2SbTe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2HfS2F3,HfCo2S2F3,Co,Hf,S,F,Sn2SbS2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2HfS2Cl3,HfCo2S2Cl3,Co,Hf,S,Cl,Ge2SbS2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2HfS2Br3,HfCo2S2Br3,Co,Hf,S,Br,Ge2SbS2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2HfS2I3,HfCo2S2I3,Co,Hf,S,I,Ge2SbS2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2HfSe2F3,HfCo2Se2F3,Co,Hf,Se,F,Sn2SbSe2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2HfSe2Cl3,HfCo2Se2Cl3,Co,Hf,Se,Cl,Ge2SbSe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2HfSe2Br3,HfCo2Se2Br3,Co,Hf,Se,Br,Ge2SbSe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2HfSe2I3,HfCo2Se2I3,Co,Hf,Se,I,Ge2SbSe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2HfTe2F3,HfCo2Te2F3,Co,Hf,Te,F,Sn2SbTe2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2HfTe2Cl3,HfCo2Te2Cl3,Co,Hf,Te,Cl,Ge2SbTe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2HfTe2Br3,HfCo2Te2Br3,Co,Hf,Te,Br,Ge2SbTe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2HfTe2I3,HfCo2Te2I3,Co,Hf,Te,I,Ge2SbTe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2TaS2F3,TaCo2S2F3,Co,Ta,S,F,Sn2SbS2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2TaS2Cl3,TaCo2S2Cl3,Co,Ta,S,Cl,Ge2SbS2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2TaS2Br3,TaCo2S2Br3,Co,Ta,S,Br,Ge2SbS2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2TaS2I3,TaCo2S2I3,Co,Ta,S,I,Ge2SbS2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2TaSe2F3,TaCo2Se2F3,Co,Ta,Se,F,Sn2SbSe2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2TaSe2Cl3,TaCo2Se2Cl3,Co,Ta,Se,Cl,Ge2SbSe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2TaSe2Br3,TaCo2Se2Br3,Co,Ta,Se,Br,Ge2SbSe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2TaSe2I3,TaCo2Se2I3,Co,Ta,Se,I,Ge2SbSe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2TaTe2F3,TaCo2Te2F3,Co,Ta,Te,F,Sn2SbTe2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2TaTe2Cl3,TaCo2Te2Cl3,Co,Ta,Te,Cl,Ge2SbTe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2TaTe2Br3,TaCo2Te2Br3,Co,Ta,Te,Br,Ge2SbTe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2TaTe2I3,TaCo2Te2I3,Co,Ta,Te,I,Ge2SbTe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2WS2F3,Co2WS2F3,Co,W,S,F,Sn2SbS2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2WS2Cl3,Co2WS2Cl3,Co,W,S,Cl,Ge2SbS2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2WS2Br3,Co2WS2Br3,Co,W,S,Br,Ge2SbS2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2WS2I3,Co2WS2I3,Co,W,S,I,Ge2SbS2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2WSe2F3,Co2WSe2F3,Co,W,Se,F,Sn2SbSe2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2WSe2Cl3,Co2WSe2Cl3,Co,W,Se,Cl,Ge2SbSe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2WSe2Br3,Co2WSe2Br3,Co,W,Se,Br,Ge2SbSe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2WSe2I3,Co2WSe2I3,Co,W,Se,I,Ge2SbSe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2WTe2F3,Co2Te2WF3,Co,W,Te,F,Sn2SbTe2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2WTe2Cl3,Co2Te2WCl3,Co,W,Te,Cl,Ge2SbTe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2WTe2Br3,Co2Te2WBr3,Co,W,Te,Br,Ge2SbTe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2WTe2I3,Co2Te2WI3,Co,W,Te,I,Ge2SbTe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2FeS2F3,FeCo2S2F3,Co,Fe,S,F,Sn2SbS2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2FeS2Cl3,FeCo2S2Cl3,Co,Fe,S,Cl,Ge2InS2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2FeS2Br3,FeCo2S2Br3,Co,Fe,S,Br,Ge2InS2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2FeS2I3,FeCo2S2I3,Co,Fe,S,I,Ge2InS2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2FeSe2F3,FeCo2Se2F3,Co,Fe,Se,F,Sn2SbSe2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2FeSe2Cl3,FeCo2Se2Cl3,Co,Fe,Se,Cl,Ge2InSe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2FeSe2Br3,FeCo2Se2Br3,Co,Fe,Se,Br,Ge2InSe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2FeSe2I3,FeCo2Se2I3,Co,Fe,Se,I,Ge2InSe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2FeTe2F3,FeCo2Te2F3,Co,Fe,Te,F,Sn2SbTe2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2FeTe2Cl3,FeCo2Te2Cl3,Co,Fe,Te,Cl,Ge2InTe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2FeTe2Br3,FeCo2Te2Br3,Co,Fe,Te,Br,Ge2InTe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2FeTe2I3,FeCo2Te2I3,Co,Fe,Te,I,Ge2InTe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2RuS2F3,Co2RuS2F3,Co,Ru,S,F,Sn2SbS2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2RuS2Cl3,Co2RuS2Cl3,Co,Ru,S,Cl,Ge2SbS2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2RuS2Br3,Co2RuS2Br3,Co,Ru,S,Br,Ge2SbS2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2RuS2I3,Co2RuS2I3,Co,Ru,S,I,Ge2SbS2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2RuSe2F3,Co2RuSe2F3,Co,Ru,Se,F,Sn2SbSe2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2RuSe2Cl3,Co2RuSe2Cl3,Co,Ru,Se,Cl,Ge2SbSe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2RuSe2Br3,Co2RuSe2Br3,Co,Ru,Se,Br,Ge2SbSe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2RuSe2I3,Co2RuSe2I3,Co,Ru,Se,I,Ge2SbSe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2RuTe2F3,Co2Te2RuF3,Co,Ru,Te,F,Sn2SbTe2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2RuTe2Cl3,Co2Te2RuCl3,Co,Ru,Te,Cl,Ge2SbTe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2RuTe2Br3,Co2Te2RuBr3,Co,Ru,Te,Br,Ge2SbTe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2RuTe2I3,Co2Te2RuI3,Co,Ru,Te,I,Ge2SbTe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2RhS2F3,Co2RhS2F3,Co,Rh,S,F,Sn2SbS2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2RhS2Cl3,Co2RhS2Cl3,Co,Rh,S,Cl,Ge2SbS2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2RhS2Br3,Co2RhS2Br3,Co,Rh,S,Br,Ge2SbS2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2RhS2I3,Co2RhS2I3,Co,Rh,S,I,Ge2SbS2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2RhSe2F3,Co2RhSe2F3,Co,Rh,Se,F,Sn2SbSe2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2RhSe2Cl3,Co2RhSe2Cl3,Co,Rh,Se,Cl,Ge2SbSe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2RhSe2Br3,Co2RhSe2Br3,Co,Rh,Se,Br,Ge2SbSe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2RhSe2I3,Co2RhSe2I3,Co,Rh,Se,I,Ge2SbSe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2RhTe2F3,Co2Te2RhF3,Co,Rh,Te,F,Sn2SbTe2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2RhTe2Cl3,Co2Te2RhCl3,Co,Rh,Te,Cl,Ge2SbTe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2RhTe2Br3,Co2Te2RhBr3,Co,Rh,Te,Br,Ge2SbTe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Co2RhTe2I3,Co2Te2RhI3,Co,Rh,Te,I,Ge2SbTe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ni2AlS2F3,AlNi2S2F3,Ni,Al,S,F,Sn2SbS2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ni2AlS2Cl3,AlNi2S2Cl3,Ni,Al,S,Cl,Ge2SbS2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ni2AlS2Br3,AlNi2S2Br3,Ni,Al,S,Br,Ge2SbS2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ni2AlS2I3,AlNi2S2I3,Ni,Al,S,I,Ge2SbS2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ni2AlSe2F3,AlNi2Se2F3,Ni,Al,Se,F,Sn2SbSe2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ni2AlSe2Cl3,AlNi2Se2Cl3,Ni,Al,Se,Cl,Ge2SbSe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ni2AlSe2Br3,AlNi2Se2Br3,Ni,Al,Se,Br,Ge2SbSe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ni2AlSe2I3,AlNi2Se2I3,Ni,Al,Se,I,Ge2SbSe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ni2AlTe2F3,AlNi2Te2F3,Ni,Al,Te,F,Sn2SbTe2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ni2AlTe2Cl3,AlNi2Te2Cl3,Ni,Al,Te,Cl,Ge2SbTe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ni2AlTe2Br3,AlNi2Te2Br3,Ni,Al,Te,Br,Ge2SbTe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ni2AlTe2I3,AlNi2Te2I3,Ni,Al,Te,I,Ge2SbTe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ni2GaS2F3,GaNi2S2F3,Ni,Ga,S,F,Sn2SbS2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ni2GaS2Cl3,GaNi2S2Cl3,Ni,Ga,S,Cl,Ge2SbS2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ni2GaS2Br3,GaNi2S2Br3,Ni,Ga,S,Br,Ge2SbS2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ni2GaS2I3,GaNi2S2I3,Ni,Ga,S,I,Ge2SbS2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ni2GaSe2F3,GaNi2Se2F3,Ni,Ga,Se,F,Sn2SbSe2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ni2GaSe2Cl3,GaNi2Se2Cl3,Ni,Ga,Se,Cl,Ge2SbSe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ni2GaSe2Br3,GaNi2Se2Br3,Ni,Ga,Se,Br,Ge2SbSe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ni2GaSe2I3,GaNi2Se2I3,Ni,Ga,Se,I,Ge2SbSe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ni2GaTe2F3,GaNi2Te2F3,Ni,Ga,Te,F,Sn2SbTe2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ni2GaTe2Cl3,GaNi2Te2Cl3,Ni,Ga,Te,Cl,Ge2SbTe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ni2GaTe2Br3,GaNi2Te2Br3,Ni,Ga,Te,Br,Ge2SbTe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ni2GaTe2I3,GaNi2Te2I3,Ni,Ga,Te,I,Ge2SbTe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ni2InS2F3,InNi2S2F3,Ni,In,S,F,Ge2InS2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Ni2InS2Cl3,InNi2S2Cl3,Ni,In,S,Cl,Ge2InS2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
