file,formula,group,pattern,n_metals_or_non_chx,has_O,has_N,extra_elements,elements
mp-1235201.cif,LiNb2Te4Cl10O,oxy_chalcohalide,,3,True,False,O,Cl Li Nb O Te
mp-1235206.cif,K2LiS2(O2F)2,oxy_chalcohalide,,3,True,False,O,F K Li O S
mp-1235220.cif,LiAu4Se4(ClO3)4,oxy_chalcohalide,,3,True,False,O,Au Cl Li O Se
mp-1235262.cif,LiNb2Te4Cl10O,oxy_chalcohalide,,3,True,False,O,Cl Li Nb O Te
mp-1235291.cif,LiAu4Se4(ClO3)4,oxy_chalcohalide,,3,True,False,O,Au Cl Li O Se
mp-1235303.cif,LiSb3TeClO6,oxy_chalcohalide,,3,True,False,O,Cl Li O Sb Te
mp-1235317.cif,K2LiS2(O2F)2,oxy_chalcohalide,,3,True,False,O,F K Li O S
mp-1235324.cif,LiNb2Te4Cl10O,oxy_chalcohalide,,3,True,False,O,Cl Li Nb O Te
mp-1235328.cif,LiAu4Se4(ClO3)4,oxy_chalcohalide,,3,True,False,O,Au Cl Li O Se
mp-1235337.cif,K2LiS2(O2F)2,oxy_chalcohalide,,3,True,False,O,F K Li O S
mp-1235353.cif,LiTa2Te4Br10O,oxy_chalcohalide,,3,True,False,O,Br Li O Ta Te
mp-1235409.cif,LiTa2Te4Br10O,oxy_chalcohalide,,3,True,False,O,Br Li O Ta Te
mp-1235468.cif,LiTa2Te4Br10O,oxy_chalcohalide,,3,True,False,O,Br Li O Ta Te
mp-1235506.cif,K2LiS2(O2F)2,oxy_chalcohalide,,3,True,False,O,F K Li O S
mp-1235510.cif,LiNb2Te4Cl10O,oxy_chalcohalide,,3,True,False,O,Cl Li Nb O Te
mp-1235582.cif,LiAu4Se4(ClO3)4,oxy_chalcohalide,,3,True,False,O,Au Cl Li O Se
mp-1235589.cif,LiSb3TeClO6,oxy_chalcohalide,,3,True,False,O,Cl Li O Sb Te
mp-1235735.cif,LiNb2Te4Cl10O,oxy_chalcohalide,,3,True,False,O,Cl Li Nb O Te
