formula,pattern,status,source
AgSnSBr,A1B1_Ch1_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgSnSBr.cif
AgSnSCl,A1B1_Ch1_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgSnSCl.cif
AgSnSF,A1B1_Ch1_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgSnSF.cif
AgSnSI,A1B1_Ch1_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgSnSI.cif
AgSnSeBr,A1B1_Ch1_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgSnSeBr.cif
AgSnSeCl,A1B1_Ch1_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgSnSeCl.cif
AgSnSeF,A1B1_Ch1_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgSnSeF.cif
AgSnSeI,A1B1_Ch1_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgSnSeI.cif
AgSnTeBr,A1B1_Ch1_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgSnTeBr.cif
AgSnTeCl,A1B1_Ch1_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgSnTeCl.cif
AgSnTeF,A1B1_Ch1_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgSnTeF.cif
AgSnTeI,A1B1_Ch1_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgSnTeI.cif
AgTe3Mo2Br,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgTe3Mo2Br.cif
AgTe3Mo2Cl,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgTe3Mo2Cl.cif
AgTe3Mo2F,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgTe3Mo2F.cif
AgTe3Mo2I,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgTe3Mo2I.cif
AgTe3Rh2Br,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgTe3Rh2Br.cif
