structure_id,source_file,source_path,formula,bg_type,bg_eV,bg_std_eV,ehull,screen_pass
AgRh2S3Br,AgRh2S3Br.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgRh2S3Br.cif,AgRh2S3Br,Indirect,0.6925,0.2861,Stable,No
AgRh2S3Cl,AgRh2S3Cl.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgRh2S3Cl.cif,AgRh2S3Cl,Indirect,0.6602,0.3725,Stable,No
AgRh2S3F,AgRh2S3F.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgRh2S3F.cif,AgRh2S3F,Indirect,0.5927,0.4074,Stable,No
AgRh2S3I,AgRh2S3I.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgRh2S3I.cif,AgRh2S3I,Indirect,0.8744,0.1283,Stable,No
AgRh2Se3Br,AgRh2Se3Br.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgRh2Se3Br.cif,AgRh2Se3Br,Direct,0.3423,0.0971,Stable,No
AgRh2Se3Cl,AgRh2Se3Cl.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgRh2Se3Cl.cif,AgRh2Se3Cl,Direct,0.3167,0.1121,Stable,No
AgRh2Se3F,AgRh2Se3F.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgRh2Se3F.cif,AgRh2Se3F,Direct,0.346,0.2701,Stable,No
AgRh2Se3I,AgRh2Se3I.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgRh2Se3I.cif,AgRh2Se3I,Direct,0.3916,0.1193,Stable,No
AgRhSBr2,AgRhSBr2.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgRhSBr2.cif,AgRhSBr2,Indirect,0.0836,0.0484,Unstable,No
AgRhSCl2,AgRhSCl2.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgRhSCl2.cif,AgRhSCl2,Indirect,0.1901,0.165,Unstable,No
AgRhSF2,AgRhSF2.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgRhSF2.cif,AgRhSF2,Indirect,0.4018,0.2022,Stable,No
AgRhSI2,AgRhSI2.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgRhSI2.cif,AgRhSI2,Indirect,0.0637,0.0493,Unstable,No
AgRhSeBr2,AgRhSeBr2.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgRhSeBr2.cif,AgRhSeBr2,Indirect,0.1075,0.1232,Unstable,No
AgRhSeCl2,AgRhSeCl2.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgRhSeCl2.cif,AgRhSeCl2,Indirect,0.1372,0.1433,Unstable,No
AgRhSeF2,AgRhSeF2.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgRhSeF2.cif,AgRhSeF2,Direct,0.1711,0.1706,Unstable,No
AgRhSeI2,AgRhSeI2.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgRhSeI2.cif,AgRhSeI2,Indirect,0.198,0.1004,Unstable,No
AgRu2S3Br,AgRu2S3Br.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgRu2S3Br.cif,AgRu2S3Br,Indirect,0.1942,0.1678,Stable,No
AgRu2S3Cl,AgRu2S3Cl.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgRu2S3Cl.cif,AgRu2S3Cl,Indirect,0.3111,0.2717,Stable,No
AgRu2S3F,AgRu2S3F.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgRu2S3F.cif,AgRu2S3F,Indirect,0.0227,0.0559,Unstable,No
AgRu2S3I,AgRu2S3I.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgRu2S3I.cif,AgRu2S3I,Indirect,0.1792,0.1644,Stable,No
AgRu2Se3Br,AgRu2Se3Br.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgRu2Se3Br.cif,AgRu2Se3Br,Direct,0.1106,0.1178,Stable,No
AgRu2Se3Cl,AgRu2Se3Cl.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgRu2Se3Cl.cif,AgRu2Se3Cl,Indirect,0.1601,0.1543,Stable,No
AgRu2Se3F,AgRu2Se3F.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgRu2Se3F.cif,AgRu2Se3F,Indirect,0.0575,0.0685,Stable,No
AgRu2Se3I,AgRu2Se3I.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgRu2Se3I.cif,AgRu2Se3I,Direct,0.1064,0.1589,Stable,No
AgRuSBr2,AgRuSBr2.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgRuSBr2.cif,AgRuSBr2,Indirect,0.0167,0.0226,Unstable,No
AgRuSCl2,AgRuSCl2.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgRuSCl2.cif,AgRuSCl2,Indirect,0.0089,0.0278,Unstable,No
AgRuSF2,AgRuSF2.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgRuSF2.cif,AgRuSF2,Indirect,0.0169,0.051,Unstable,No
AgRuSI2,AgRuSI2.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgRuSI2.cif,AgRuSI2,Indirect,0.0628,0.0705,Unstable,No
AgRuSeBr2,AgRuSeBr2.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgRuSeBr2.cif,AgRuSeBr2,Indirect,-0.0096,0.0276,Unstable,No
AgRuSeCl2,AgRuSeCl2.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgRuSeCl2.cif,AgRuSeCl2,Indirect,0.0035,0.0311,Unstable,No
AgRuSeF2,AgRuSeF2.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgRuSeF2.cif,AgRuSeF2,Indirect,-0.0102,0.0289,Unstable,No
