formula,bg_type,bg_eV,bg_std_eV,ehull,screen_pass,source,structure_type,source_dir,source_file,dest_file,cif_path,bg_eV_raw,bg_eV_used,gap_type_used,ehull_numeric_used,screen_pass_bool
AgMo2Se3I,Direct,0.2902,0.1671,Stable,No,dual_backbone_inorg,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/AgMo2Se3I.cif,PROJECT_ROOT/Data/predict_final_main6/AgMo2Se3I.cif,PROJECT_ROOT/Data/predict_final_main6/AgMo2Se3I.cif,0.2902,0.2902,Direct,0.0,False
AgMoSBr2,Indirect,0.054,0.04,Unstable,No,dual_backbone_inorg,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_new_relaxed,PROJECT_ROOT/Data/predict_new_relaxed/AgMoSBr2.cif,PROJECT_ROOT/Data/predict_final_main6/AgMoSBr2.cif,PROJECT_ROOT/Data/predict_final_main6/AgMoSBr2.cif,0.054,0.054,Indirect,0.2,False
AgMoSCl2,Indirect,0.0339,0.0362,Unstable,No,dual_backbone_inorg,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_new_relaxed,PROJECT_ROOT/Data/predict_new_relaxed/AgMoSCl2.cif,PROJECT_ROOT/Data/predict_final_main6/AgMoSCl2.cif,PROJECT_ROOT/Data/predict_final_main6/AgMoSCl2.cif,0.0339,0.0339,Indirect,0.2,False
AgMoSF2,Indirect,0.1565,0.2398,Unstable,No,dual_backbone_inorg,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_new_relaxed,PROJECT_ROOT/Data/predict_new_relaxed/AgMoSF2.cif,PROJECT_ROOT/Data/predict_final_main6/AgMoSF2.cif,PROJECT_ROOT/Data/predict_final_main6/AgMoSF2.cif,0.1565,0.1565,Indirect,0.2,False
AgMoSI2,Direct,0.0573,0.0302,Unstable,No,dual_backbone_inorg,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_new_relaxed,PROJECT_ROOT/Data/predict_new_relaxed/AgMoSI2.cif,PROJECT_ROOT/Data/predict_final_main6/AgMoSI2.cif,PROJECT_ROOT/Data/predict_final_main6/AgMoSI2.cif,0.0573,0.0573,Direct,0.2,False
AgMoSeBr2,Indirect,0.0833,0.0712,Unstable,No,dual_backbone_inorg,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_new_relaxed,PROJECT_ROOT/Data/predict_new_relaxed/AgMoSeBr2.cif,PROJECT_ROOT/Data/predict_final_main6/AgMoSeBr2.cif,PROJECT_ROOT/Data/predict_final_main6/AgMoSeBr2.cif,0.0833,0.0833,Indirect,0.2,False
AgMoSeCl2,Indirect,0.0705,0.0677,Unstable,No,dual_backbone_inorg,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_new_relaxed,PROJECT_ROOT/Data/predict_new_relaxed/AgMoSeCl2.cif,PROJECT_ROOT/Data/predict_final_main6/AgMoSeCl2.cif,PROJECT_ROOT/Data/predict_final_main6/AgMoSeCl2.cif,0.0705,0.0705,Indirect,0.2,False
AgMoSeF2,Indirect,0.0277,0.027,Unstable,No,dual_backbone_inorg,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_new_relaxed,PROJECT_ROOT/Data/predict_new_relaxed/AgMoSeF2.cif,PROJECT_ROOT/Data/predict_final_main6/AgMoSeF2.cif,PROJECT_ROOT/Data/predict_final_main6/AgMoSeF2.cif,0.0277,0.0277,Indirect,0.2,False
AgMoSeI2,Indirect,0.0558,0.0275,Unstable,No,dual_backbone_inorg,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_new_relaxed,PROJECT_ROOT/Data/predict_new_relaxed/AgMoSeI2.cif,PROJECT_ROOT/Data/predict_final_main6/AgMoSeI2.cif,PROJECT_ROOT/Data/predict_final_main6/AgMoSeI2.cif,0.0558,0.0558,Indirect,0.2,False
AgPdSBr,Direct,0.0707,0.1025,Unstable,No,dual_backbone_inorg,TrainTemplate_A1B1_Ch1_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/AgPdSBr.cif,PROJECT_ROOT/Data/predict_final_main6/AgPdSBr.cif,PROJECT_ROOT/Data/predict_final_main6/AgPdSBr.cif,0.0707,0.0707,Direct,0.2,False
AgPdSCl,Indirect,0.1016,0.1027,Unstable,No,dual_backbone_inorg,TrainTemplate_A1B1_Ch1_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/AgPdSCl.cif,PROJECT_ROOT/Data/predict_final_main6/AgPdSCl.cif,PROJECT_ROOT/Data/predict_final_main6/AgPdSCl.cif,0.1016,0.1016,Indirect,0.2,False
AgPdSF,Direct,0.1677,0.0853,Stable,No,dual_backbone_inorg,TrainTemplate_A1B1_Ch1_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/AgPdSF.cif,PROJECT_ROOT/Data/predict_final_main6/AgPdSF.cif,PROJECT_ROOT/Data/predict_final_main6/AgPdSF.cif,0.1677,0.1677,Direct,0.0,False
AgPdSI,Indirect,-0.003,0.0235,Unstable,No,dual_backbone_inorg,TrainTemplate_A1B1_Ch1_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/AgPdSI.cif,PROJECT_ROOT/Data/predict_final_main6/AgPdSI.cif,PROJECT_ROOT/Data/predict_final_main6/AgPdSI.cif,-0.003,0.0,Metal,0.2,False
AgPdSeBr,Direct,0.0644,0.0841,Unstable,No,dual_backbone_inorg,TrainTemplate_A1B1_Ch1_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/AgPdSeBr.cif,PROJECT_ROOT/Data/predict_final_main6/AgPdSeBr.cif,PROJECT_ROOT/Data/predict_final_main6/AgPdSeBr.cif,0.0644,0.0644,Direct,0.2,False
AgPdSeCl,Indirect,0.1107,0.115,Unstable,No,dual_backbone_inorg,TrainTemplate_A1B1_Ch1_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/AgPdSeCl.cif,PROJECT_ROOT/Data/predict_final_main6/AgPdSeCl.cif,PROJECT_ROOT/Data/predict_final_main6/AgPdSeCl.cif,0.1107,0.1107,Indirect,0.2,False
AgPdSeF,Direct,0.051,0.0323,Stable,No,dual_backbone_inorg,TrainTemplate_A1B1_Ch1_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/AgPdSeF.cif,PROJECT_ROOT/Data/predict_final_main6/AgPdSeF.cif,PROJECT_ROOT/Data/predict_final_main6/AgPdSeF.cif,0.051,0.051,Direct,0.0,False
AgPdSeI,Direct,0.0571,0.0619,Unstable,No,dual_backbone_inorg,TrainTemplate_A1B1_Ch1_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/AgPdSeI.cif,PROJECT_ROOT/Data/predict_final_main6/AgPdSeI.cif,PROJECT_ROOT/Data/predict_final_main6/AgPdSeI.cif,0.0571,0.0571,Direct,0.2,False
AgPtSBr,Indirect,0.0432,0.0559,Stable,No,dual_backbone_inorg,TrainTemplate_A1B1_Ch1_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/AgPtSBr.cif,PROJECT_ROOT/Data/predict_final_main6/AgPtSBr.cif,PROJECT_ROOT/Data/predict_final_main6/AgPtSBr.cif,0.0432,0.0432,Indirect,0.0,False
AgPtSCl,Direct,0.0719,0.0615,Unstable,No,dual_backbone_inorg,TrainTemplate_A1B1_Ch1_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/AgPtSCl.cif,PROJECT_ROOT/Data/predict_final_main6/AgPtSCl.cif,PROJECT_ROOT/Data/predict_final_main6/AgPtSCl.cif,0.0719,0.0719,Direct,0.2,False
AgPtSF,Indirect,0.1684,0.1414,Stable,No,dual_backbone_inorg,TrainTemplate_A1B1_Ch1_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/AgPtSF.cif,PROJECT_ROOT/Data/predict_final_main6/AgPtSF.cif,PROJECT_ROOT/Data/predict_final_main6/AgPtSF.cif,0.1684,0.1684,Indirect,0.0,False
AgPtSI,Indirect,-0.0041,0.03,Unstable,No,dual_backbone_inorg,TrainTemplate_A1B1_Ch1_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/AgPtSI.cif,PROJECT_ROOT/Data/predict_final_main6/AgPtSI.cif,PROJECT_ROOT/Data/predict_final_main6/AgPtSI.cif,-0.0041,0.0,Metal,0.2,False
AgPtSeBr,Indirect,0.0348,0.011,Stable,No,dual_backbone_inorg,TrainTemplate_A1B1_Ch1_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/AgPtSeBr.cif,PROJECT_ROOT/Data/predict_final_main6/AgPtSeBr.cif,PROJECT_ROOT/Data/predict_final_main6/AgPtSeBr.cif,0.0348,0.0348,Indirect,0.0,False
